window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta
23424000	23425000	23424500	0.9354193548387096	0.8495929203539823	1	1	0.08582643448472738	0.08582643448472738
23425000	23426000	23425500	0.9746167089812758	0.9434345410628019	2	2	0.031182167918473946	0.031182167918473946
23426000	23427000	23426500	0.9971379310344828	0.983951871657754	2	2	0.013186059376728787	0.013186059376728787
23427000	23428000	23427500	0.9196557788944724	0.9584166666666667	2	2	-0.03876088777219433	0.03876088777219433
23428000	23429000	23428500	0.99446875	0.9844062499999999	2	2	0.010062500000000085	0.010062500000000085
23429000	23430000	23429500	0.9145985130111524	0.9368523206751055	1	1	-0.02225380766395313	0.02225380766395313
23430000	23431000	23430500	0.9287	0.7966101694915254	1	1	0.13208983050847456	0.13208983050847456
23431000	23432000	23431500	0.9713978494623655	0.9635999999999999	1	1	0.007797849462365614	0.007797849462365614
23432000	23433000	23432500	0.9808338658146964	0.9693180076628352	1	1	0.011515858151861291	0.011515858151861291
23433000	23434000	23433500	0.9630959409594096	0.9476026200873363	1	1	0.015493320872073335	0.015493320872073335
23434000	23435000	23434500	0.9682619047619048	1.0	1	1	-0.03173809523809523	0.03173809523809523
23435000	23436000	23435500	1.0	0.9	1	1	0.09999999999999998	0.09999999999999998
23436000	23437000	23436500	0.9666666666666667	0.85	2	1	0.1166666666666667	0.1166666666666667
23437000	23438000	23437500	1.0	0.98999	2	2	0.010009999999999963	0.010009999999999963
23438000	23439000	23438500	0.9581063829787234	0.9458484848484847	2	2	0.012257898130238698	0.012257898130238698
23439000	23440000	23439500	0.9723618090452262	0.9505322580645161	2	2	0.021829550980710044	0.021829550980710044
23440000	23441000	23440500	0.961663829787234	0.9882235294117646	1	1	-0.02655969962453064	0.02655969962453064
23441000	23442000	23441500	0.955186567164179	0.9533733333333333	1	1	0.0018132338308457507	0.0018132338308457507
23442000	23443000	23442500	0.9234904458598724	0.9677970297029703	1	2	-0.044306583843097935	0.044306583843097935
