window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17805000	17806000	17805500	0.9041538461538463	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17806000	17807000	17806500	0.3923921568627451	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17807000	17808000	17807500	0.558325	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17808000	17809000	17808500	0.7937065217391303	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17809000	17810000	17809500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17810000	17811000	17810500	0.6884517543859648	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17811000	17812000	17811500	0.41675000000000006	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17812000	17813000	17812500	0.844029331140351	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17813000	17814000	17813500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17814000	17815000	17814500	0.5505795698924731	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17815000	17816000	17815500	0.6612687500000001	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17816000	17817000	17816500	0.6538625	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17817000	17818000	17817500	0.6721578397212542	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17818000	17819000	17818500	0.5920173076923076	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17819000	17820000	17819500	0.5610968045112782	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17820000	17821000	17820500	0.6652440664556962	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17821000	17822000	17821500	0.6703333333333334	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17822000	17823000	17822500	0.72825	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17823000	17824000	17823500	0.4431401515151515	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17824000	17825000	17824500	0.477527027027027	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17825000	17826000	17825500	0.8886263157894737	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17826000	17827000	17826500	0.6681253565062388	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17827000	17828000	17827500	0.7181255526083112	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17828000	17829000	17828500	0.6457992495309568	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17829000	17830000	17829500	0.4654523809523809	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17830000	17831000	17830500	0.5455	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
