window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta	control_maternal_mean_smoothed	control_paternal_mean_smoothed
19378000	19379000	19378500	0.8315446630483944	0.8131849244344316	2	2	0.0183597386139627	0.0183597386139627	0.8394783743256352	0.8720502938203987
19379000	19380000	19379500	0.791992652143845	0.8121985378638099	2	2	-0.0202058857199649	0.0202058857199649	0.8384437137180234	0.8648288394934756
19380000	19381000	19380500	0.8778781637717121	0.9331141310984918	2	2	-0.0552359673267797	0.0552359673267797	0.8356733873918374	0.8621002672599738
19381000	19382000	19381500	0.8888715481171549	0.8302293695777906	2	2	0.0586421785393642	0.0586421785393642	0.8364835583623693	0.8499699011674087
19382000	19383000	19382500	0.8326785714285715	0.911303011201485	2	2	-0.0786244397729135	0.0786244397729135	0.8326785714285715	0.8476731887890006
19383000	19384000	19383500	0.8223293660799839	0.8416557803468208	2	2	-0.0193264142668369	0.0193264142668369	0.8315446630483944	0.8476731887890006
19384000	19385000	19384500	0.7531607754927163	0.8476731887890006	2	2	-0.0945124132962842	0.0945124132962842	0.8315446630483944	0.8476731887890006
19385000	19386000	19385500	0.8025071988275669	0.883028094921155	2	2	-0.080520896093588	0.080520896093588	0.8326785714285715	0.8476731887890006
19386000	19387000	19386500	0.7531880841121495	0.8228280999331551	2	2	-0.0696400158210055	0.0696400158210055	0.8315446630483944	0.8420034879842206
19387000	19388000	19387500	0.8580365763209636	0.8768389227642277	2	2	-0.018802346443264	0.018802346443264	0.8315446630483944	0.8416557803468208
19388000	19389000	19388500	0.902463756004556	0.8769057845084409	2	2	0.0255579714961151	0.0255579714961151	0.8224937160506975	0.8420034879842206
19389000	19390000	19389500	0.7019273949579832	0.7964761211158192	2	2	-0.094548726157836	0.094548726157836	0.8224937160506975	0.8420034879842206
19390000	19391000	19390500	0.8150202874206793	0.8719339209741307	2	2	-0.0569136335534513	0.0569136335534513	0.8224937160506975	0.8420034879842206
19391000	19392000	19391500	0.80256529087351	0.7353004253810707	2	2	0.0672648654924393	0.0672648654924393	0.8224937160506975	0.8420034879842206
19392000	19393000	19392500	0.8548811789069299	0.8420034879842206	2	2	0.0128776909227092	0.0128776909227092	0.8224937160506975	0.8420034879842206
19393000	19394000	19393500	0.8697162834949432	0.8009501679308653	2	2	0.0687661155640779	0.0687661155640779	0.8315446630483944	0.8420034879842206
19394000	19395000	19394500	0.6413472301951779	0.5043490057995028	2	2	0.1369982243956751	0.1369982243956751	0.8326785714285715	0.8476731887890006
19395000	19396000	19395500	0.7827661119711042	0.6705114096626774	2	2	0.1122547023084268	0.1122547023084268	0.8404202127659575	0.8527273188896412
19396000	19397000	19396500	0.9009912649722464	0.7246602508525519	2	2	0.1763310141196945	0.1763310141196945	0.8404202127659575	0.8527273188896412
19397000	19398000	19397500	0.8086145087833441	0.8374805134220138	2	2	-0.0288660046386697	0.0288660046386697	0.8404202127659575	0.8630054545454546
19398000	19399000	19398500	0.8224937160506975	0.8733054632042412	2	2	-0.0508117471535436	0.0508117471535436	0.8503707482993197	0.8527273188896412
19399000	19400000	19399500	0.9011087606837608	0.9047011748069184	2	2	-0.0035924141231576	0.0035924141231576	0.8526434316353886	0.8630054545454546
19400000	19401000	19400500	0.9075185185185184	0.8965900136112901	1	2	0.0109285049072284	0.0109285049072284	0.8548811789069299	0.8719339209741307
19401000	19402000	19401500	0.7361506849315069	0.830365071147924	1	2	-0.094214386216417	0.094214386216417	0.8554799999999999	0.8719339209741307
19402000	19403000	19402500	0.858923076923077	0.8262204522096608	1	2	0.0327026247134162	0.0327026247134162	0.8567582881604818	0.872619692089186
