window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
20787000	20788000	20787500	0.9630689655172412	0.9629630484988452	0.9567308338887286	0.9083028169014083	0.8818633540372672	0.8872881919352508
20788000	20789000	20788500	0.9259444444444442	0.7162432432432433	0.7596350000000001	0.9057823529411768	0.8818633540372672	0.8926860749185668
20789000	20790000	20789500	0.983590163934426	0.9847272727272728	0.9438564903846154	0.9002000000000001	0.8818633540372672	0.8872881919352508
20790000	20791000	20790500	0.8771754385964913	0.5975853658536585	0.6649390243902439	0.9002000000000001	0.8818633540372672	0.8872881919352508
20791000	20792000	20791500	NaN	NaN	NaN	0.8886666666666666	0.8818633540372672	0.8872881919352508
20792000	20793000	20792500	0.8756153846153846	0.8656923076923078	0.8863249366171676	0.8886666666666666	0.878815561959654	0.8872881919352508
20793000	20794000	20793500	0.9478260869565216	0.952048	0.8522456210191084	0.8886666666666666	0.8782375690607734	0.8871752281424785
20794000	20795000	20794500	0.8886666666666666	1.0	0.9888333333333332	0.8886666666666666	0.8782375690607734	0.8872881919352508
20795000	20796000	20795500	0.7895789473684212	0.711	0.8461666666666667	0.8771754385964913	0.8782375690607734	0.8872881919352508
20796000	20797000	20796500	0.7571028037383178	0.8818633540372672	0.8762767695099818	0.8763954116059379	0.8719649383765407	0.8872790841472944
20797000	20798000	20797500	0.8465079365079365	0.9059963898916968	0.9020752330870728	0.8829210526315789	0.8785265655102137	0.8928603519810356
20798000	20799000	20798500	0.940928270042194	0.9253726708074534	0.9710168950176808	0.8829210526315789	0.8803394579984607	0.9002538725569467
20799000	20800000	20799500	NaN	NaN	NaN	0.8829210526315789	0.8803394579984607	0.9002538725569467
20800000	20801000	20800500	NaN	NaN	NaN	0.8764827073650714	0.8722539348259809	0.8928512441930794
20801000	20802000	20801500	1.0	0.75	0.8767008196721311	0.8764827073650714	0.8737778308647874	0.8928512441930794
20802000	20803000	20802500	0.6665	0.4903962264150943	0.768463829787234	0.8764827073650714	0.8737778308647874	0.8928512441930794
20803000	20804000	20803500	0.9057823529411768	0.7801266666666667	0.9475373267083792	0.875702680374518	0.8606188811188813	0.8867974564882528
20804000	20805000	20804500	0.724651376146789	0.5638031914893616	0.7616230590062112	0.8717490412812994	0.8737778308647874	0.8867974564882528
20805000	20806000	20805500	0.791625	0.7704370370370371	0.8787797897196261	0.8717490412812994	0.8737778308647874	0.8867974564882528
20806000	20807000	20806500	0.8214428571428571	0.8841900826446281	0.948040254237288	0.8642879398826979	0.8737778308647874	0.8867974564882528
